2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","1970016","2049984","1959984","2049984","678","213.5"
"2007-01-05","2079984","2130000","1980000","2090016","2322","217.7"
"2007-01-09","2070000","2169984","2060016","2109984","973","219.8"
"2007-01-10","2150016","2220000","2019984","2100000","2083","218.8"
"2007-01-11","2109984","2180016","2049984","2180016","1253","227.1"
"2007-01-12","2169984","2319984","2150016","2270016","3726","236.5"
"2007-01-15","2289984","2289984","2160000","2199984","1465","229.2"
"2007-01-16","2180016","2400000","2169984","2330016","3217","242.7"
"2007-01-17","2330016","2340000","2250000","2280000","1476","237.5"
"2007-01-18","2319984","2340000","2210016","2229984","1120","232.3"
"2007-01-19","2250000","2450016","2210016","2450016","2062","255.2"
"2007-01-22","2450016","2600016","2409984","2550000","2156","265.6"
"2007-01-23","2630016","2949984","2630016","2949984","4282","307.3"
"2007-01-24","2930016","3020016","2829984","2970000","2784","309.4"
"2007-01-25","2970000","3219984","2880000","2919984","3894","304.2"
"2007-01-26","2940000","3200016","2930016","3200016","2934","333.3"
"2007-01-29","3279984","3390000","3219984","3279984","2245","341.7"
"2007-01-30","3330000","3350016","3050016","3120000","1681","325"
"2007-01-31","3020016","3099984","2750016","2810016","1660","292.7"
"2007-02-01","2870016","3000000","2750016","2940000","1585","306.3"
"2007-02-02","2979984","3009984","2799984","2859984","1171","297.9"
"2007-02-05","2780016","2840016","2709984","2730000","789","284.4"
"2007-02-06","2790000","2910000","2769984","2900016","1768","302.1"
"2007-02-07","2880000","2960016","2840016","2910000","1058","303.1"
"2007-02-08","2919984","3129984","2880000","3099984","1899","322.9"
"2007-02-09","3060000","3080016","2949984","2970000","1220","309.4"
"2007-02-13","3000000","3080016","2820000","2850000","1182","296.9"
"2007-02-14","2919984","2919984","2810016","2840016","676","295.8"
"2007-02-15","2870016","2979984","2820000","2910000","761","303.1"
"2007-02-16","2910000","3009984","2889984","2919984","647","304.2"
"2007-02-19","2979984","3009984","2919984","2960016","352","308.3"
"2007-02-20","3000000","3170016","2990016","3140016","2376","327.1"
"2007-02-21","3110016","3120000","3009984","3069984","966","319.8"
"2007-02-22","3090000","3170016","3030000","3120000","763","325"
"2007-02-23","3159984","3309984","3159984","3249984","1812","338.5"
"2007-02-26","3300000","3300000","3170016","3189984","854","332.3"
"2007-02-27","3189984","3210000","3120000","3129984","561","326"
"2007-02-28","2859984","3090000","2859984","3090000","832","321.9"
"2007-03-01","3090000","3120000","2940000","3009984","402","313.5"
"2007-03-02","2979984","3060000","2949984","2970000","344","309.4"
"2007-03-05","2910000","2949984","2610000","2640000","677","275"
"2007-03-06","2709984","2850000","2690016","2840016","754","295.8"
"2007-03-07","2919984","2970000","2829984","2870016","901","299"
"2007-03-08","2850000","3050016","2829984","3009984","1118","313.5"
"2007-03-09","3020016","3030000","2949984","2960016","707","308.3"
"2007-03-12","2990016","3060000","2979984","3009984","432","313.5"
"2007-03-13","2990016","3000000","2910000","2919984","365","304.2"
"2007-03-14","2799984","2880000","2790000","2829984","280","294.8"
"2007-03-15","2900016","2940000","2870016","2910000","328","303.1"
"2007-03-16","2919984","2940000","2859984","2870016","343","299"
"2007-03-19","2840016","2889984","2820000","2870016","153","299"
"2007-03-20","2910000","2910000","2859984","2900016","348","302.1"
"2007-03-22","2949984","2990016","2919984","2940000","308","306.3"
"2007-03-23","2960016","3039984","2930016","3009984","364","313.5"
"2007-03-26","3030000","3189984","3030000","3039984","1104","316.7"
"2007-03-27","768000","801996","761004","765000","2812","318.8"
"2007-03-28","785004","789000","765996","780996","1847","325.4"
"2007-03-29","771000","774996","762000","765000","888","318.8"
"2007-03-30","771000","771000","734004","747996","882","311.7"
"2007-04-02","738000","741000","708996","710004","909","295.8"
"2007-04-03","708996","710004","681996","690000","1071","287.5"
"2007-04-04","704004","723996","695004","719004","880","299.6"
"2007-04-05","714000","738996","711996","720000","1086","300"
"2007-04-06","726996","726996","704004","711000","408","296.3"
"2007-04-09","710004","714000","684996","690000","557","287.5"
"2007-04-10","684996","704004","675000","689004","549","287.1"
"2007-04-11","681996","755004","674004","720000","5100","300"
"2007-04-12","713004","732996","702996","708996","1728","295.4"
"2007-04-13","716004","719004","689004","693000","958","288.8"
"2007-04-16","696996","705000","680004","681000","623","283.8"
"2007-04-17","678000","690000","663000","669000","672","278.8"
"2007-04-18","639996","653004","626004","639996","671","266.7"
"2007-04-19","650004","660000","626004","635004","682","264.6"
"2007-04-20","639996","639996","597996","599004","607","249.6"
"2007-04-23","588996","590004","548004","564000","1052","235"
"2007-04-24","558996","597000","549996","591996","888","246.7"
"2007-04-25","581004","582000","555000","557004","521","232.1"
