2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
"2010-05-20","302496","313500","301500","309000","346","128.8"
"2010-05-21","297696","306996","292704","298896","511","124.5"
"2010-05-24","300996","308496","300996","306504","262","127.7"
"2010-05-25","302496","303504","287304","293004","388","122.1"
"2010-05-26","288000","308004","288000","306504","586","127.7"
"2010-05-27","303996","314496","300000","309996","383","129.2"
"2010-05-28","312996","318000","312996","316500","256","131.9"
"2010-05-31","321996","321996","315504","321000","151","133.8"
"2010-06-01","315996","318000","315000","317496","182","132.3"
"2010-06-02","315504","323496","315504","322500","199","134.4"
"2010-06-03","321996","325500","318996","321504","171","134"
"2010-06-04","321504","321504","310500","312000","324","130"
"2010-06-07","302004","306504","300000","301500","163","125.6"
"2010-06-08","297996","312996","297996","311004","121","129.6"
"2010-06-09","307500","312000","303000","307500","179","128.1"
"2010-06-10","305004","312000","303504","312000","177","130"
"2010-06-11","312000","318504","310500","317496","219","132.3"
"2010-06-14","315996","323004","314004","315000","159","131.3"
"2010-06-15","309996","318504","309996","315996","153","131.7"
"2010-06-16","318000","318504","310500","312000","123","130"
"2010-06-17","309504","309504","303996","306996","114","127.9"
"2010-06-18","303996","309000","302004","306504","158","127.7"
"2010-06-21","305004","306504","303000","304500","174","126.9"
"2010-06-22","304500","306000","303000","305004","258","127.1"
"2010-06-23","300000","302004","297000","302004","355","125.8"
"2010-06-24","300000","302004","296004","297504","286","124"
"2010-06-25","296004","296304","291996","294996","286","122.9"
"2010-06-28","294300","294504","287304","289896","171","120.8"
"2010-06-29","288204","290796","277104","280296","232","116.8"
"2010-06-30","270000","278196","270000","275100","181","114.6"
"2010-07-01","275100","275400","270900","273300","62","113.9"
"2010-07-02","273300","273396","270600","272304","205","113.5"
"2010-07-05","277296","279804","271896","272496","127","113.5"
"2010-07-06","272496","282000","272004","281604","155","117.3"
"2010-07-07","281604","281796","276000","278304","108","116"
"2010-07-08","281100","297996","281100","295896","230","123.3"
"2010-07-09","293496","300000","290604","298104","142","124.2"
"2010-07-12","297996","297996","277500","281796","278","117.4"
"2010-07-13","279996","284400","276300","281100","251","117.1"
"2010-07-14","284004","285000","277896","279996","224","116.7"
"2010-07-15","281796","281796","275004","278196","212","115.9"
"2010-07-16","274404","279804","271596","274104","139","114.2"
"2010-07-20","274200","274200","261300","264996","401","110.4"
"2010-07-21","264204","269496","260604","264804","555","110.3"
"2010-07-22","261096","266700","249804","266100","505","110.9"
"2010-07-23","261096","275004","261096","268296","239","111.8"
"2010-07-26","273000","283404","273000","282096","264","117.5"
"2010-07-27","296004","296004","284796","294996","307","122.9"
"2010-07-28","291996","297000","287796","287796","158","119.9"
"2010-07-29","288996","288996","284604","284796","43","118.7"
"2010-07-30","282096","282996","272004","275796","197","114.9"
"2010-08-02","263004","269796","260004","263304","209","109.7"
"2010-08-03","263196","264996","260004","261204","233","108.8"
"2010-08-04","261204","261396","258504","258504","74","107.7"
"2010-08-05","253500","258000","251796","253404","151","105.6"
"2010-08-06","251304","252096","242004","246504","231","102.7"
"2010-08-09","246600","247404","243504","246396","74","102.7"
"2010-08-10","245004","249900","240900","242400","203","101"
"2010-08-11","242004","243600","230604","237996","222","99.2"
"2010-08-12","230700","232200","225000","227400","199","94.8"
"2010-08-13","229404","232500","222396","231804","69","96.6"
"2010-08-16","231804","242496","230100","236700","164","98.6"
"2010-08-17","240096","240096","234000","236196","77","98.4"
"2010-08-18","239400","245004","237096","243696","113","101.5"
"2010-08-19","246996","247500","243204","245496","117","102.3"
"2010-08-20","245604","246600","240300","240300","58","100.1"
"2010-08-23","245004","249996","245004","249900","105","104.1"
"2010-08-24","249900","249900","245004","247704","139","103.2"
"2010-08-25","245496","248004","240000","246696","106","102.8"
"2010-08-26","244896","248004","243996","246996","69","102.9"
"2010-08-27","245004","248496","243696","247296","258","103"
"2010-08-30","249996","255996","248700","255996","119","106.7"
"2010-08-31","251100","256800","238800","245700","213","102.4"
"2010-09-01","243900","243900","225900","232104","269","96.7"
"2010-09-02","237996","237996","225996","230304","164","96"
"2010-09-03","228504","232800","228504","230100","94","95.9"
"2010-09-06","233100","235896","232104","234504","120","97.7"
"2010-09-07","234300","239004","231000","236496","190","98.5"
"2010-09-08","236496","236496","228600","229704","227","95.7"
"2010-09-09","230004","233304","228996","228996","140","95.4"
"2010-09-10","234000","234504","228504","230196","189","95.9"
"2010-09-13","230100","231696","228600","230100","74","95.9"
"2010-09-14","230700","230700","227196","228996","132","95.4"
"2010-09-15","228504","228996","225600","227604","260","94.8"
"2010-09-16","227904","231996","227496","229704","162","95.7"
"2010-09-17","230004","237600","230004","237600","224","99"
"2010-09-21","241404","247704","241404","247200","325","103"
"2010-09-22","244500","247704","244200","247200","178","103"
"2010-09-24","243000","259296","243000","249504","373","104"
"2010-09-27","258996","279996","255996","279504","616","116.5"
"2010-09-28","270000","273000","267996","270096","796","112.5"
"2010-09-29","270096","320496","270000","292200","1342","121.8"
"2010-09-30","288204","289800","276996","280596","360","116.9"
"2010-10-01","278904","297900","269304","295896","618","123.3"
"2010-10-04","294996","294996","285900","287100","422","119.6"
"2010-10-05","282300","290100","275700","284796","300","118.7"
"2010-10-06","290904","291000","281904","286500","242","119.4"
"2010-10-07","285300","294396","281004","282900","463","117.9"
"2010-10-08","285804","293004","282900","290004","474","120.8"
"2010-10-12","290004","294000","281196","282096","212","117.5"
"2010-10-13","282000","283896","269700","271296","290","113"
"2010-10-14","271500","278904","271500","276000","166","115"
"2010-10-15","277104","278004","273600","277404","131","115.6"
"2010-10-18","278304","288504","278196","285804","141","119.1"
"2010-10-19","286104","288504","278004","279396","232","116.4"
"2010-10-20","276900","279996","272100","276096","118","115"
"2010-10-21","276096","276096","264096","264900","189","110.4"
"2010-10-22","260004","268896","260004","262404","235","109.3"
"2010-10-25","265896","268896","260700","266904","101","111.2"
"2010-10-26","266904","267996","263004","266700","92","111.1"
"2010-10-27","264504","267996","264504","264996","57","110.4"
"2010-10-28","261504","276996","261096","273300","296","113.9"
"2010-10-29","276504","294996","276504","291000","638","121.3"
"2010-11-01","286800","291804","285300","286104","334","119.2"
"2010-11-02","281100","290004","276300","283200","476","118"
"2010-11-04","281904","298104","281904","295800","592","123.3"
"2010-11-05","295500","315504","295200","315504","717","131.5"
"2010-11-08","315000","317496","309504","314004","326","130.8"
"2010-11-09","309996","312504","302004","303996","346","126.7"
"2010-11-10","302004","309504","302004","306504","367","127.7"
"2010-11-11","303996","308004","303996","306504","294","127.7"
"2010-11-12","305496","311496","304500","308004","185","128.3"
"2010-11-15","306996","309504","302004","307500","172","128.1"
"2010-11-16","306000","318996","305496","317496","384","132.3"
"2010-11-17","318996","327504","316500","327000","443","136.3"
"2010-11-18","323496","326496","318504","326496","248","136"
"2010-11-19","324000","326496","315996","315996","190","131.7"
"2010-11-22","317004","323496","317004","321000","170","133.8"
"2010-11-24","316500","319500","315000","317496","207","132.3"
"2010-11-25","317496","317496","311004","312504","189","130.2"
"2010-11-26","312996","318504","306504","307500","360","128.1"
"2010-11-29","312996","312996","308004","309000","298","128.8"
"2010-11-30","306996","312000","306000","307500","180","128.1"
"2010-12-01","305496","318504","305496","314004","367","130.8"
"2010-12-02","319500","322500","318504","319500","152","133.1"
"2010-12-03","321996","323004","318996","320004","341","133.3"
"2010-12-06","320004","323496","320004","321996","379","134.2"
"2010-12-07","326004","332004","320004","332004","393","138.3"
"2010-12-08","330996","348000","330504","336996","721","140.4"
"2010-12-09","336996","344004","336000","342000","517","142.5"
"2010-12-10","339996","341004","321000","330504","431","137.7"
"2010-12-13","333000","343500","332004","343500","407","143.1"
"2010-12-14","342996","351996","340500","351504","268","146.5"
"2010-12-15","354996","372000","353496","365004","755","152.1"
"2010-12-16","362496","369504","360000","367500","288","153.1"
"2010-12-17","365004","367500","345996","349500","457","145.6"
"2010-12-20","350004","359004","350004","357504","226","149"
"2010-12-21","357996","360996","346500","350004","170","145.8"
"2010-12-22","356004","356004","339996","341496","275","142.3"
"2010-12-24","336996","345000","336996","341004","277","142.1"
"2010-12-27","339996","345000","336504","338004","201","140.8"
"2010-12-28","335004","345000","333000","341004","187","142.1"
"2010-12-29","341496","346500","341496","345504","221","144"
"2010-12-30","347004","352500","345996","350004","284","145.8"
