2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2010-01-04","348996","349500","345000","348504","69","145.2"
"2010-01-05","354504","378000","347004","374496","601","156"
"2010-01-06","374496","414996","374004","402996","1141","167.9"
"2010-01-07","396000","400500","390996","390996","433","162.9"
"2010-01-08","386496","399504","386004","390996","182","162.9"
"2010-01-12","391500","391500","386496","389496","109","162.3"
"2010-01-13","393000","393000","375996","378504","309","157.7"
"2010-01-14","382500","382500","377004","379500","103","158.1"
"2010-01-15","379500","384504","378000","380496","126","158.5"
"2010-01-18","376500","384000","372996","376500","221","156.9"
"2010-01-19","372504","384000","372504","375996","205","156.7"
"2010-01-20","379500","379500","372996","375504","73","156.5"
"2010-01-21","372504","378504","372504","377004","133","157.1"
"2010-01-22","375000","376500","372996","375000","104","156.3"
"2010-01-25","374496","383004","373500","380496","276","158.5"
"2010-01-26","389496","389496","375000","375504","337","156.5"
"2010-01-27","375000","377496","355500","360000","299","150"
"2010-01-28","357504","371004","357504","368496","198","153.5"
"2010-01-29","361500","365004","354996","354996","138","147.9"
"2010-02-01","333996","339996","330996","336996","297","140.4"
"2010-02-02","341004","344004","321000","325500","588","135.6"
"2010-02-03","329004","332004","308004","313500","800","130.6"
"2010-02-04","320496","320496","305004","309996","640","129.2"
"2010-02-05","305004","311004","298296","305004","665","127.1"
"2010-02-08","309504","309504","300996","300996","273","125.4"
"2010-02-09","300000","302004","298500","301500","218","125.6"
"2010-02-10","303504","303996","285000","291996","820","121.7"
"2010-02-12","299004","320004","297204","318504","1015","132.7"
"2010-02-15","332496","332496","317004","319500","755","133.1"
"2010-02-16","320496","320496","312000","315000","350","131.3"
"2010-02-17","315996","322500","312000","318000","335","132.5"
"2010-02-18","319500","319500","315504","317496","187","132.3"
"2010-02-19","317496","327000","315000","326004","540","135.8"
"2010-02-22","327000","331500","323004","331500","476","138.1"
"2010-02-23","330000","330000","325500","327996","218","136.7"
"2010-02-24","324504","327504","317004","321504","426","134"
"2010-02-25","318504","322500","311496","313500","339","130.6"
"2010-02-26","309996","314496","306504","312000","245","130"
"2010-03-01","309996","317004","309996","312996","115","130.4"
"2010-03-02","318000","318504","311496","312000","161","130"
"2010-03-03","312504","312996","310500","310500","121","129.4"
"2010-03-04","311004","311496","305004","305004","189","127.1"
"2010-03-05","305004","311004","304500","306504","352","127.7"
"2010-03-08","312000","312996","306504","309000","295","128.8"
"2010-03-09","309000","309504","303504","305004","263","127.1"
"2010-03-10","306504","311004","303000","308496","234","128.5"
"2010-03-11","309504","309996","304500","309504","233","129"
"2010-03-12","311004","329004","306996","323496","832","134.8"
"2010-03-15","327996","328500","324996","327000","437","136.3"
"2010-03-16","326004","326496","323004","326496","271","136"
"2010-03-17","326004","326004","318000","321000","293","133.8"
"2010-03-18","320496","321996","315996","318996","430","132.9"
"2010-03-19","317496","319500","311496","319500","470","133.1"
"2010-03-23","319500","320004","312000","313500","460","130.6"
"2010-03-24","312000","315000","307500","311004","646","129.6"
"2010-03-25","311004","314496","311004","312504","448","130.2"
"2010-03-26","313500","318000","313500","317004","313","132.1"
"2010-03-29","315996","330996","315000","329004","498","137.1"
"2010-03-30","326496","327000","318996","324000","321","135"
"2010-03-31","323004","327504","320496","320496","243","133.5"
"2010-04-01","320004","322500","317004","320496","199","133.5"
"2010-04-02","324504","324504","318996","318996","313","132.9"
"2010-04-05","323496","329496","321000","329496","253","137.3"
"2010-04-06","330000","342000","329496","336996","674","140.4"
"2010-04-07","339000","344004","338004","339996","650","141.7"
"2010-04-08","339996","341004","333996","337500","547","140.6"
"2010-04-09","335496","339000","335004","338496","179","141"
"2010-04-12","341004","344004","335004","335004","373","139.6"
"2010-04-13","335004","335004","327000","330996","256","137.9"
"2010-04-14","330996","333996","330996","332004","136","138.3"
"2010-04-15","333000","335004","327996","330504","378","137.7"
"2010-04-16","330996","333000","327996","333000","332","138.8"
"2010-04-19","332004","332004","327000","329496","276","137.3"
"2010-04-20","329004","332496","327996","329004","236","137.1"
"2010-04-21","330000","341496","330000","335004","807","139.6"
"2010-04-22","334500","345996","333504","345996","731","144.2"
"2010-04-23","347004","350004","340500","345996","588","144.2"
"2010-04-26","324996","348996","321000","348000","1342","145"
"2010-04-27","342996","347496","336000","336996","549","140.4"
"2010-04-28","333000","336996","328500","335004","539","139.6"
"2010-04-30","334500","342996","334500","342000","409","142.5"
"2010-05-06","335004","339996","324000","330000","710","137.5"
"2010-05-07","318000","320496","305004","306504","796","127.7"
"2010-05-10","307500","309996","300996","306504","577","127.7"
"2010-05-11","309504","309996","298104","298596","461","124.4"
"2010-05-12","298596","303000","296004","297696","424","124"
"2010-05-13","301500","306000","299400","305496","375","127.3"
"2010-05-14","302004","312000","300996","306996","379","127.9"
"2010-05-17","303000","312996","303000","311004","502","129.6"
"2010-05-18","309996","316500","306000","306504","432","127.7"
"2010-05-19","300000","306504","294900","302496","399","126"
