2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2006-10-10","1470000","1530000","1269984","1269984","8049","132.3"
"2006-10-11","1230000","1310016","1089984","1230000","4960","128.1"
"2006-10-12","1230000","1430016","1209984","1430016","5192","149"
"2006-10-13","1449984","1629984","1350000","1629984","6262","169.8"
"2006-10-16","1670016","1800000","1580016","1659984","7040","172.9"
"2006-10-17","1700016","1779984","1590000","1610016","3631","167.7"
"2006-10-18","1640016","1899984","1629984","1890000","5075","196.9"
"2006-10-19","1899984","1940016","1730016","1790016","3767","186.5"
"2006-10-20","1809984","1880016","1770000","1820016","1980","189.6"
"2006-10-23","1839984","2120016","1820016","2120016","5221","220.8"
"2006-10-24","2150016","2190000","2040000","2090016","3063","217.7"
"2006-10-25","2100000","2319984","2040000","2139984","4684","222.9"
"2006-10-26","2180016","2319984","2139984","2250000","3902","234.4"
"2006-10-27","2280000","2300016","2079984","2079984","2808","216.7"
"2006-10-30","1959984","2070000","1740000","1839984","2643","191.7"
"2006-10-31","1899984","2010000","1800000","2010000","2289","209.4"
"2006-11-01","2070000","2109984","1950000","1989984","3162","207.3"
"2006-11-02","1950000","1950000","1749984","1809984","2138","188.5"
"2006-11-06","1779984","1910016","1740000","1899984","1926","197.9"
"2006-11-07","1940016","2060016","1929984","2010000","3502","209.4"
"2006-11-08","1970016","1980000","1850016","1860000","1777","193.8"
"2006-11-09","1899984","1970016","1820016","1899984","1300","197.9"
"2006-11-10","1880016","1959984","1800000","1800000","1570","187.5"
"2006-11-13","1809984","1820016","1670016","1670016","729","174"
"2006-11-14","1730016","1749984","1680000","1710000","918","178.1"
"2006-11-15","1749984","1890000","1710000","1880016","1981","195.8"
"2006-11-16","1850016","1910016","1749984","1760016","1472","183.3"
"2006-11-17","1800000","1820016","1689984","1800000","839","187.5"
"2006-11-20","1740000","1809984","1710000","1749984","729","182.3"
"2006-11-21","1760016","1779984","1689984","1689984","444","176"
"2006-11-22","1689984","1719984","1620000","1689984","884","176"
"2006-11-24","1680000","1719984","1650000","1659984","728","172.9"
"2006-11-27","1629984","1850016","1629984","1809984","1237","188.5"
"2006-11-28","1779984","1820016","1740000","1779984","1630","185.4"
"2006-11-29","1830000","1910016","1820016","1890000","1724","196.9"
"2006-11-30","1920000","1970016","1899984","1929984","1413","201"
"2006-12-01","1920000","1970016","1899984","1920000","848","200"
"2006-12-04","1929984","2120016","1920000","2090016","3204","217.7"
"2006-12-05","2130000","2139984","2010000","2049984","1408","213.5"
"2006-12-06","2049984","2190000","2000016","2150016","2169","224"
"2006-12-07","2120016","2190000","2049984","2070000","1549","215.6"
"2006-12-08","2070000","2139984","2060016","2109984","1282","219.8"
"2006-12-11","2139984","2390016","2109984","2300016","4793","239.6"
"2006-12-12","2340000","2390016","1959984","1980000","3054","206.3"
"2006-12-13","2010000","2100000","1959984","2049984","1591","213.5"
"2006-12-14","2060016","2079984","1910016","1910016","1046","199"
"2006-12-15","1950000","1970016","1860000","1929984","1228","201"
"2006-12-18","1929984","2040000","1890000","2019984","1448","210.4"
"2006-12-19","1959984","2010000","1839984","1880016","1486","195.8"
"2006-12-20","1899984","2040000","1880016","2010000","1011","209.4"
"2006-12-21","2040000","2040000","1920000","1950000","1395","203.1"
"2006-12-22","1959984","2000016","1890000","1950000","798","203.1"
"2006-12-25","1940016","1970016","1910016","1959984","432","204.2"
"2006-12-26","1950000","1980000","1890000","1920000","507","200"
"2006-12-27","1920000","1929984","1860000","1869984","287","194.8"
"2006-12-28","1809984","1880016","1779984","1880016","323","195.8"
"2006-12-29","1869984","1959984","1869984","1910016","439","199"
