2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2012-01-04","409500","411000","404004","405000","149","168.8"
"2012-01-05","408000","408000","402000","402996","74","167.9"
"2012-01-06","404004","405504","397500","399504","180","166.5"
"2012-01-10","399504","399504","395004","395004","255","164.6"
"2012-01-11","398496","402000","396000","399504","121","166.5"
"2012-01-12","399504","399996","393000","393504","111","164"
"2012-01-13","398496","399504","395004","398496","93","166"
"2012-01-16","397500","397500","389496","390504","71","162.7"
"2012-01-17","387504","389004","382500","383004","154","159.6"
"2012-01-18","381996","383004","372996","376500","311","156.9"
"2012-01-19","378000","388500","378000","387504","353","161.5"
"2012-01-20","390000","392004","384996","387504","413","161.5"
"2012-01-23","389496","389496","387000","387000","191","161.3"
"2012-01-24","389004","390504","387504","389004","281","162.1"
"2012-01-25","388500","389004","386496","387996","195","161.7"
"2012-01-26","389004","389004","386004","387000","227","161.3"
"2012-01-27","386004","386496","378000","380004","301","158.3"
"2012-01-30","382500","398496","381996","396504","627","165.2"
"2012-01-31","380004","380004","366996","377004","756","157.1"
"2012-02-01","378000","378000","368004","372504","362","155.2"
"2012-02-02","372504","373500","370500","372504","302","155.2"
"2012-02-03","372996","373500","368004","369504","339","154"
"2012-02-06","376500","376500","373500","375000","316","156.3"
"2012-02-07","378000","382500","376500","381504","368","159"
"2012-02-08","381000","381000","375996","377004","311","157.1"
"2012-02-09","380004","384996","378000","383004","296","159.6"
"2012-02-10","384996","384996","375000","378000","442","157.5"
"2012-02-13","375504","384504","375504","383004","219","159.6"
"2012-02-14","381996","390000","381000","388500","171","161.9"
"2012-02-15","395496","397500","392004","396504","480","165.2"
"2012-02-16","398004","405000","392496","401496","347","167.3"
"2012-02-17","402996","404496","398496","402000","267","167.5"
"2012-02-20","404496","405996","395004","398004","293","165.8"
"2012-02-21","392004","405996","391500","404004","227","168.3"
"2012-02-22","404004","410496","402996","410004","270","170.8"
"2012-02-23","413496","414996","410496","411996","166","171.7"
"2012-02-24","411000","411000","402996","405000","162","168.8"
"2012-02-27","399996","404004","398004","399504","274","166.5"
"2012-02-28","389496","389496","386496","389496","614","162.3"
"2012-02-29","390000","393996","389004","392496","481","163.5"
"2012-03-01","392004","392004","389496","390000","324","162.5"
"2012-03-02","392004","392004","386004","390996","370","162.9"
"2012-03-05","390996","392496","388500","390000","458","162.5"
"2012-03-06","390000","393996","389496","393996","527","164.2"
"2012-03-07","390996","392004","390000","390996","263","162.9"
"2012-03-08","391500","395004","390000","395004","372","164.6"
"2012-03-09","396000","399000","395496","396996","581","165.4"
"2012-03-12","399996","411504","399000","410004","926","170.8"
"2012-03-13","411996","411996","404496","406500","601","169.4"
"2012-03-14","409500","417000","408000","411996","717","171.7"
"2012-03-15","410004","415500","408000","410496","495","171"
"2012-03-16","405996","408996","403500","407496","248","169.8"
"2012-03-19","408504","415500","408000","412500","200","171.9"
"2012-03-21","413004","414000","409500","411000","250","171.3"
"2012-03-22","411000","417996","410004","417000","244","173.8"
"2012-03-23","411000","416496","411000","414996","138","172.9"
"2012-03-26","420000","420504","414996","416004","279","173.3"
"2012-03-27","414996","423000","413004","423000","507","176.3"
"2012-03-28","2125","2141","2090","2137","43600","178.1"
"2012-03-29","2150","2227","2148","2205","72500","183.8"
"2012-03-30","2176","2213","2133","2191","64900","182.6"
"2012-04-02","2200","2244","2195","2238","65500","186.5"
"2012-04-03","2233","2233","2171","2177","38100","181.4"
"2012-04-04","2173","2186","2020","2149","61700","179.1"
"2012-04-05","2145","2148","2095","2119","49300","176.6"
"2012-04-06","2119","2162","2110","2144","30700","178.7"
"2012-04-09","2141","2143","2085","2096","60500","174.7"
"2012-04-10","2050","2078","2046","2072","73900","172.7"
"2012-04-11","2040","2051","2028","2043","45400","170.3"
"2012-04-12","2243","2245","2152","2186","180800","182.2"
"2012-04-13","2200","2265","2182","2242","162900","186.8"
"2012-04-16","2235","2280","2096","2260","130200","188.3"
"2012-04-17","2265","2274","2181","2218","57900","184.8"
"2012-04-18","2227","2243","2200","2240","59700","186.7"
"2012-04-19","2245","2250","2230","2242","31900","186.8"
"2012-04-20","2246","2350","2245","2345","94400","195.4"
"2012-04-23","2345","2350","2280","2291","73400","190.9"
"2012-04-24","2281","2351","2280","2351","53900","195.9"
"2012-04-25","2375","2395","2362","2381","93700","198.4"
"2012-04-26","2382","2385","2326","2359","39100","196.6"
"2012-04-27","2331","2343","2280","2295","59400","191.3"
"2012-05-01","2260","2354","2241","2344","67100","195.3"
"2012-05-02","2321","2350","2320","2346","44000","195.5"
"2012-05-07","2345","2356","2278","2344","61200","195.3"
"2012-05-08","2360","2365","2314","2340","35300","195"
"2012-05-09","2328","2340","2290","2292","39600","191"
"2012-05-10","2315","2416","2300","2406","98900","200.5"
"2012-05-11","2406","2445","2385","2395","70800","199.6"
"2012-05-14","2450","2465","2364","2372","47100","197.7"
"2012-05-15","2338","2350","2227","2322","58700","193.5"
"2012-05-16","2322","2340","2277","2292","48300","191"
"2012-05-17","2271","2344","2265","2327","29500","193.9"
"2012-05-18","2260","2310","2260","2282","30600","190.2"
"2012-05-21","2236","2314","2236","2299","20500","191.6"
"2012-05-22","2314","2319","2280","2290","19500","190.8"
"2012-05-23","2291","2291","2187","2206","49200","183.8"
"2012-05-24","2207","2266","2206","2236","43200","186.3"
"2012-05-25","2236","2236","2177","2183","27800","181.9"
"2012-05-28","2184","2190","2128","2151","32100","179.3"
"2012-05-29","2154","2267","2140","2252","36500","187.7"
"2012-05-30","2269","2277","2210","2218","23000","184.8"
"2012-05-31","2194","2259","2185","2236","47300","186.3"
"2012-06-01","2233","2248","2189","2227","28100","185.6"
"2012-06-04","2187","2212","2152","2199","35500","183.3"
"2012-06-05","2218","2218","2156","2188","25300","182.3"
"2012-06-06","2195","2246","2186","2242","21900","186.8"
"2012-06-07","2249","2269","2226","2269","21100","189.1"
"2012-06-08","2270","2277","2204","2255","37000","187.9"
"2012-06-11","2305","2321","2237","2245","20200","187.1"
"2012-06-12","2252","2282","2250","2281","17100","190.1"
"2012-06-13","2300","2300","2264","2293","19900","191.1"
"2012-06-14","2272","2281","2195","2215","41000","184.6"
"2012-06-15","2220","2245","2183","2208","29100","184"
"2012-06-18","2232","2322","2232","2284","43700","190.3"
"2012-06-19","2335","2377","2312","2324","54500","193.7"
"2012-06-20","2322","2325","2275","2306","32900","192.2"
"2012-06-21","2306","2310","2285","2297","22200","191.4"
"2012-06-22","2272","2305","2271","2293","44300","191.1"
"2012-06-25","2300","2360","2300","2350","52100","195.8"
"2012-06-26","2328","2425","2319","2363","115600","196.9"
"2012-06-27","2313","2354","2313","2342","43100","195.2"
"2012-06-28","2353","2384","2319","2339","23500","194.9"
"2012-06-29","2370","2435","2355","2419","85800","201.6"
"2012-07-02","2395","2431","2369","2398","51700","199.8"
"2012-07-03","2425","2474","2425","2458","87600","204.8"
"2012-07-04","2468","2497","2435","2441","89900","203.4"
"2012-07-05","2490","2490","2373","2404","71600","200.3"
"2012-07-06","2444","2485","2430","2457","75900","204.8"
"2012-07-09","2458","2458","2422","2431","35200","202.6"
"2012-07-10","2450","2458","2381","2409","45400","200.8"
"2012-07-11","2375","2390","2330","2364","67600","197"
"2012-07-12","2364","2385","2344","2362","52300","196.8"
"2012-07-13","2364","2455","2364","2444","64500","203.7"
"2012-07-17","2445","2459","2404","2409","42100","200.8"
"2012-07-18","2414","2433","2410","2420","25800","201.7"
"2012-07-19","2400","2422","2390","2410","60200","200.8"
"2012-07-20","2400","2410","2374","2386","47500","198.8"
"2012-07-23","2410","2431","2394","2403","51100","200.3"
"2012-07-24","2399","2400","2374","2392","45400","199.3"
"2012-07-25","2366","2385","2341","2352","39300","196"
"2012-07-26","2385","2400","2371","2398","28000","199.8"
"2012-07-27","2400","2405","2367","2376","27800","198"
"2012-07-30","2390","2390","2354","2378","36600","198.2"
"2012-07-31","2350","2350","2251","2321","88800","193.4"
"2012-08-01","2300","2361","2284","2340","68700","195"
"2012-08-02","2348","2348","2287","2311","58800","192.6"
"2012-08-03","2282","2323","2279","2290","31700","190.8"
"2012-08-06","2330","2350","2310","2348","33800","195.7"
"2012-08-07","2350","2383","2338","2380","36500","198.3"
"2012-08-08","2385","2400","2305","2333","58700","194.4"
"2012-08-09","2336","2381","2301","2377","52000","198.1"
"2012-08-10","2365","2365","2311","2318","35900","193.2"
"2012-08-13","2310","2310","2286","2299","47900","191.6"
"2012-08-14","2300","2359","2291","2346","78800","195.5"
"2012-08-15","2346","2357","2304","2351","75400","195.9"
"2012-08-16","2367","2367","2316","2330","30000","194.2"
"2012-08-17","2321","2345","2320","2324","24600","193.7"
"2012-08-20","2330","2366","2330","2343","27800","195.3"
"2012-08-21","2300","2323","2288","2291","73000","190.9"
"2012-08-22","2291","2292","2245","2254","67300","187.8"
"2012-08-23","2269","2288","2257","2286","28800","190.5"
"2012-08-24","2281","2281","2220","2224","46000","185.3"
"2012-08-27","2214","2241","2195","2200","66800","183.3"
"2012-08-28","2204","2229","2201","2211","42200","184.3"
"2012-08-29","2210","2295","2203","2285","65000","190.4"
"2012-08-30","2249","2250","2192","2198","58500","183.2"
"2012-08-31","2179","2195","2169","2181","32500","181.8"
"2012-09-03","2152","2180","2122","2151","63900","179.3"
"2012-09-04","2151","2180","2125","2133","38800","177.8"
"2012-09-05","2175","2255","2163","2249","95200","187.4"
"2012-09-06","2299","2299","2168","2173","58200","181.1"
"2012-09-07","2190","2217","2161","2206","42000","183.8"
"2012-09-10","2181","2184","2141","2156","37600","179.7"
"2012-09-11","2160","2180","2154","2170","28400","180.8"
"2012-09-12","2185","2246","2185","2245","42400","187.1"
"2012-09-13","2246","2259","2230","2244","32800","187"
"2012-09-14","2276","2276","2211","2228","36200","185.7"
"2012-09-18","2246","2259","2225","2258","33600","188.2"
"2012-09-19","2274","2281","2261","2272","32300","189.3"
"2012-09-20","2273","2295","2269","2291","41800","190.9"
"2012-09-21","2276","2276","2240","2240","33900","186.7"
"2012-09-24","2246","2250","2224","2241","19500","186.8"
"2012-09-25","2230","2258","2215","2258","62100","188.2"
"2012-09-26","2205","2241","2204","2220","38400","185"
"2012-09-27","2220","2252","2215","2238","26500","186.5"
"2012-09-28","2208","2271","2208","2263","54300","188.6"
"2012-10-01","2288","2288","2250","2269","34500","189.1"
"2012-10-02","2270","2315","2270","2313","60400","192.8"
"2012-10-03","2305","2305","2266","2283","29600","190.3"
"2012-10-04","2257","2281","2236","2273","29500","189.4"
"2012-10-05","2284","2339","2282","2337","40100","194.8"
"2012-10-09","2285","2309","2257","2282","78700","190.2"
"2012-10-10","2261","2318","2252","2299","67000","191.6"
"2012-10-11","2310","2349","2304","2326","63800","193.8"
"2012-10-12","2347","2394","2312","2325","84700","193.8"
"2012-10-15","2330","2399","2325","2399","66800","199.9"
"2012-10-16","2391","2405","2344","2363","44500","196.9"
"2012-10-17","2368","2419","2352","2417","43000","201.4"
"2012-10-18","2403","2450","2392","2442","36900","203.5"
"2012-10-19","2440","2440","2400","2407","23900","200.6"
"2012-10-22","2370","2427","2370","2390","60200","199.2"
"2012-10-23","2411","2439","2393","2421","42800","201.8"
"2012-10-24","2393","2436","2381","2412","49300","201"
"2012-10-25","2420","2435","2387","2435","39600","202.9"
"2012-10-26","2450","2450","2404","2428","43800","202.3"
"2012-10-29","2458","2500","2428","2467","85200","205.6"
"2012-10-30","2480","2497","2385","2453","103900","204.4"
"2012-10-31","2453","2453","2356","2395","130500","199.6"
"2012-11-01","2442","2489","2416","2487","70300","207.3"
"2012-11-02","2495","2594","2495","2579","113100","214.9"
"2012-11-05","2580","2594","2514","2590","81800","215.8"
"2012-11-06","2590","2597","2551","2578","47600","214.8"
"2012-11-07","2590","2590","2520","2525","29400","210.4"
"2012-11-08","2499","2543","2480","2494","42900","207.8"
"2012-11-09","2485","2518","2482","2504","20800","208.7"
"2012-11-12","2504","2547","2502","2523","25700","210.3"
"2012-11-13","2536","2580","2480","2579","47900","214.9"
"2012-11-14","2574","2574","2521","2533","24700","211.1"
"2012-11-15","2545","2573","2510","2550","31500","212.5"
"2012-11-16","2587","2630","2573","2608","57200","217.3"
"2012-11-19","2621","2645","2600","2605","48300","217.1"
"2012-11-20","2625","2690","2607","2674","74900","222.8"
"2012-11-21","2676","2698","2636","2654","48300","221.2"
"2012-11-22","2658","2660","2622","2630","35800","219.2"
"2012-11-26","2687","2687","2605","2617","36000","218.1"
"2012-11-27","2639","2668","2627","2666","32400","222.2"
"2012-11-28","2676","2739","2665","2692","78300","224.3"
"2012-11-29","2726","2728","2680","2717","29800","226.4"
"2012-11-30","2722","2724","2690","2692","23400","224.3"
"2012-12-03","2742","2855","2717","2769","70800","230.8"
"2012-12-04","2770","2813","2750","2791","34600","232.6"
"2012-12-05","2820","2820","2743","2772","34100","231"
"2012-12-06","2822","2864","2812","2848","43500","237.3"
"2012-12-07","2838","2850","2820","2825","40800","235.4"
"2012-12-10","2839","2857","2815","2829","26300","235.8"
"2012-12-11","2850","2858","2825","2843","41200","236.9"
"2012-12-12","2850","2970","2845","2880","134000","240"
"2012-12-13","2916","2929","2886","2900","53700","241.7"
"2012-12-14","2950","2994","2930","2983","100100","248.6"
"2012-12-17","2983","3000","2929","2943","59100","245.3"
"2012-12-18","2979","3070","2973","3015","110600","251.3"
"2012-12-19","3095","3130","2984","3005","109700","250.4"
"2012-12-20","2995","3015","2880","2929","83400","244.1"
"2012-12-21","2951","2975","2886","2897","46700","241.4"
"2012-12-25","2900","2970","2897","2898","41800","241.5"
"2012-12-26","2912","2950","2902","2926","25100","243.8"
"2012-12-27","2930","2965","2930","2952","29800","246"
"2012-12-28","2963","2970","2859","2870","66200","239.2"
