2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2166","2219","2161","2192","1046800","2192"
"2019-01-07","2311","2331","2271","2314","989300","2314"
"2019-01-08","2337","2389","2317","2369","1217000","2369"
"2019-01-09","2431","2488","2430","2455","1411100","2455"
"2019-01-10","2455","2505","2434","2452","1461400","2452"
"2019-01-11","2459","2531","2448","2487","1154400","2487"
"2019-01-15","2463","2588","2462","2566","1187700","2566"
"2019-01-16","2578","2579","2522","2558","744700","2558"
"2019-01-17","2589","2600","2543","2558","642700","2558"
"2019-01-18","2570","2611","2548","2599","583700","2599"
"2019-01-21","2660","2687","2596","2601","955000","2601"
"2019-01-22","2619","2647","2570","2608","963100","2608"
"2019-01-23","2567","2589","2505","2532","991100","2532"
"2019-01-24","2536","2597","2520","2596","862800","2596"
"2019-01-25","2562","2625","2550","2590","612800","2590"
"2019-01-28","2590","2633","2546","2553","731300","2553"
"2019-01-29","2536","2591","2523","2586","445400","2586"
"2019-01-30","2581","2595","2524","2543","824000","2543"
"2019-01-31","2550","2739","2520","2717","1578000","2717"
"2019-02-01","2712","2763","2665","2685","1085900","2685"
"2019-02-04","2650","2718","2641","2718","650600","2718"
