2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","3660","3790","3605","3770","176500","942.5"
"2015-01-06","3675","3705","3605","3625","174300","906.3"
"2015-01-07","3590","3605","3515","3545","164900","886.3"
"2015-01-08","3615","3630","3585","3620","100700","905"
"2015-01-09","3625","3640","3585","3605","67300","901.3"
"2015-01-13","3630","3895","3625","3880","397500","970"
"2015-01-14","3865","3960","3780","3795","258900","948.8"
"2015-01-15","3815","3865","3785","3835","173400","958.8"
"2015-01-16","3800","3805","3690","3790","168800","947.5"
"2015-01-19","3850","3860","3810","3830","124400","957.5"
"2015-01-20","3855","3910","3850","3885","104400","971.3"
"2015-01-21","3880","3900","3820","3850","92800","962.5"
"2015-01-22","3880","3895","3830","3890","122100","972.5"
"2015-01-23","3910","3910","3855","3870","101900","967.5"
"2015-01-26","3860","3905","3845","3855","98300","963.8"
"2015-01-27","3885","3920","3845","3875","184400","968.8"
"2015-01-28","3895","4035","3880","3985","264800","996.3"
"2015-01-29","3965","4040","3940","4030","171100","1007.5"
"2015-01-30","4040","4170","4035","4110","209600","1027.5"
"2015-02-02","3850","3970","3840","3905","252200","976.3"
"2015-02-03","4020","4035","3795","3835","357400","958.8"
"2015-02-04","3920","3980","3895","3960","160800","990"
"2015-02-05","3980","3980","3795","3800","259600","950"
"2015-02-06","3860","3880","3825","3865","108500","966.3"
"2015-02-09","3900","3950","3845","3910","109400","977.5"
"2015-02-10","3885","3935","3820","3840","115400","960"
"2015-02-12","3910","3915","3850","3860","146600","965"
"2015-02-13","3855","3855","3800","3815","191400","953.8"
"2015-02-16","3860","3930","3835","3915","229200","978.8"
"2015-02-17","3915","3920","3850","3900","139500","975"
"2015-02-18","3920","3960","3835","3890","150600","972.5"
"2015-02-19","3895","3895","3825","3835","177800","958.8"
"2015-02-20","3845","3865","3820","3850","107000","962.5"
"2015-02-23","3895","3895","3845","3855","83400","963.8"
"2015-02-24","3835","3840","3765","3785","236500","946.3"
"2015-02-25","3780","3825","3700","3810","234600","952.5"
"2015-02-26","3840","3885","3815","3850","239800","962.5"
"2015-02-27","3875","3975","3830","3940","268800","985"
"2015-03-02","3940","3995","3890","3905","166500","976.3"
"2015-03-03","3925","4020","3900","3990","284800","997.5"
"2015-03-04","3975","3980","3900","3920","198500","980"
"2015-03-05","3910","3910","3835","3850","160800","962.5"
"2015-03-06","3870","3935","3860","3930","160600","982.5"
"2015-03-09","3935","3950","3885","3935","112300","983.8"
"2015-03-10","3970","3980","3890","3910","204700","977.5"
"2015-03-11","3855","3885","3835","3845","182100","961.3"
"2015-03-12","3850","3890","3770","3800","379500","950"
"2015-03-13","3795","3825","3730","3760","408300","940"
"2015-03-16","3775","3845","3735","3830","258100","957.5"
"2015-03-17","3845","3860","3760","3775","192500","943.8"
"2015-03-18","3780","3840","3775","3830","183900","957.5"
"2015-03-19","3830","3865","3790","3850","163100","962.5"
"2015-03-20","3880","4050","3870","4040","426000","1010"
"2015-03-23","4080","4090","3965","4010","230700","1002.5"
"2015-03-24","4000","4005","3905","3920","176800","980"
"2015-03-25","3920","4055","3920","4050","226400","1012.5"
"2015-03-26","4050","4075","3995","4015","292200","1003.8"
"2015-03-27","3965","4085","3930","3980","244600","995"
"2015-03-30","3980","4085","3970","4065","232700","1016.3"
"2015-03-31","4090","4210","4080","4150","360600","1037.5"
"2015-04-01","4080","4090","3955","4035","355400","1008.8"
"2015-04-02","4070","4080","4015","4040","187500","1010"
"2015-04-03","4045","4165","4025","4150","198400","1037.5"
"2015-04-06","4155","4340","4130","4285","393500","1071.3"
"2015-04-07","4330","4340","4230","4250","196900","1062.5"
"2015-04-08","4290","4340","4245","4325","163800","1081.3"
"2015-04-09","4305","4330","4235","4280","151100","1070"
"2015-04-10","4230","4355","4230","4320","194900","1080"
"2015-04-13","4325","4355","4250","4300","108300","1075"
"2015-04-14","4300","4350","4285","4330","108900","1082.5"
"2015-04-15","4305","4320","4290","4290","76700","1072.5"
"2015-04-16","4285","4285","4100","4190","214700","1047.5"
"2015-04-17","4210","4245","4115","4120","192100","1030"
"2015-04-20","4060","4100","3995","4000","222800","1000"
"2015-04-21","4085","4180","4080","4100","243700","1025"
"2015-04-22","4135","4205","4105","4140","177100","1035"
"2015-04-23","4150","4160","4050","4065","176600","1016.3"
"2015-04-24","4085","4135","4050","4120","176700","1030"
"2015-04-27","4125","4130","4050","4090","148300","1022.5"
"2015-04-28","4085","4155","4035","4105","259900","1026.3"
"2015-04-30","4140","4265","4105","4175","497300","1043.8"
"2015-05-01","4000","4150","3930","4130","402500","1032.5"
"2015-05-07","4270","4275","4040","4110","355500","1027.5"
"2015-05-08","4110","4295","4105","4260","308800","1065"
"2015-05-11","4315","4380","4275","4275","219000","1068.8"
"2015-05-12","4250","4290","4210","4240","145400","1060"
"2015-05-13","4205","4210","4135","4190","197500","1047.5"
"2015-05-14","4190","4220","4125","4130","198600","1032.5"
"2015-05-15","4200","4280","4175","4265","147300","1066.3"
"2015-05-18","4260","4325","4250","4320","115300","1080"
"2015-05-19","4320","4395","4320","4345","246000","1086.3"
"2015-05-20","4390","4490","4380","4445","186200","1111.3"
"2015-05-21","4500","4575","4450","4530","277300","1132.5"
"2015-05-22","4540","4565","4475","4550","149900","1137.5"
"2015-05-25","4700","4865","4700","4775","353400","1193.8"
"2015-05-26","4800","4845","4760","4780","234900","1195"
"2015-05-27","4710","4795","4665","4710","173900","1177.5"
"2015-05-28","4785","4785","4660","4685","182100","1171.3"
"2015-05-29","4685","4775","4675","4725","116900","1181.3"
"2015-06-01","4680","4745","4635","4665","120300","1166.3"
"2015-06-02","4665","4770","4640","4755","117200","1188.8"
"2015-06-03","4770","4780","4670","4710","112200","1177.5"
"2015-06-04","4715","4765","4690","4720","77400","1180"
"2015-06-05","4650","4775","4605","4695","205600","1173.8"
"2015-06-08","4750","4765","4650","4665","61600","1166.3"
"2015-06-09","4630","4640","4560","4570","103900","1142.5"
"2015-06-10","4650","4775","4625","4730","148300","1182.5"
"2015-06-11","4770","4800","4755","4800","88300","1200"
"2015-06-12","4820","4920","4770","4785","184300","1196.3"
