2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2013-01-04","2900","2900","2770","2825","103800","235.4"
"2013-01-07","2740","2740","2652","2711","149300","225.9"
"2013-01-08","2720","2775","2720","2743","95800","228.6"
"2013-01-09","2764","2820","2760","2780","92100","231.7"
"2013-01-10","2819","2870","2795","2857","82400","238.1"
"2013-01-11","2857","2868","2813","2820","47400","235"
"2013-01-15","2868","2868","2810","2837","59100","236.4"
"2013-01-16","2859","2880","2840","2855","50600","237.9"
"2013-01-17","2860","2870","2800","2817","103100","234.8"
"2013-01-18","2859","2892","2818","2891","66100","240.9"
"2013-01-21","2900","2945","2896","2914","44000","242.8"
"2013-01-22","2899","3000","2875","2963","83800","246.9"
"2013-01-23","2970","3065","2950","3060","111700","255"
"2013-01-24","3060","3140","3060","3140","77500","261.7"
"2013-01-25","3155","3175","3070","3105","89800","258.8"
"2013-01-28","3125","3220","3125","3210","75300","267.5"
"2013-01-29","3200","3200","3100","3115","81800","259.6"
"2013-01-30","3185","3200","3155","3170","42700","264.2"
"2013-01-31","3270","3295","3200","3230","104200","269.2"
"2013-02-01","3270","3345","3255","3330","83600","277.5"
"2013-02-04","3335","3340","3255","3285","46300","273.8"
"2013-02-05","3285","3340","3220","3225","73400","268.8"
"2013-02-06","3270","3330","3260","3285","48400","273.8"
"2013-02-07","3280","3280","3215","3240","68600","270"
"2013-02-08","3170","3240","3160","3200","62600","266.7"
"2013-02-12","3250","3270","3200","3200","36600","266.7"
"2013-02-13","3175","3195","3110","3130","49000","260.8"
"2013-02-14","3105","3140","3005","3050","83800","254.2"
"2013-02-15","3025","3070","2971","2999","85000","249.9"
"2013-02-18","3085","3125","3045","3090","36200","257.5"
"2013-02-19","3120","3175","3115","3165","56700","263.8"
"2013-02-20","3235","3240","3175","3210","75000","267.5"
"2013-02-21","3210","3220","3175","3185","45000","265.4"
"2013-02-22","3195","3210","3145","3190","55400","265.8"
"2013-02-25","3160","3215","3130","3190","73100","265.8"
"2013-02-26","3190","3225","3160","3190","84900","265.8"
"2013-02-27","3200","3380","3200","3360","154200","280"
"2013-02-28","3385","3390","3310","3345","47500","278.8"
"2013-03-01","3350","3440","3350","3410","51000","284.2"
