2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2011-01-04","353004","357996","348000","355500","257","148.1"
"2011-01-05","359496","360000","348504","349500","226","145.6"
"2011-01-06","351000","351000","343500","347004","217","144.6"
"2011-01-07","348996","357996","348000","351996","202","146.7"
"2011-01-11","358500","363996","353004","362004","313","150.8"
"2011-01-12","363996","366996","354000","354504","266","147.7"
"2011-01-13","353004","365004","350496","364500","376","151.9"
"2011-01-14","365004","382500","365004","370500","831","154.4"
"2011-01-17","371496","375504","363996","366996","258","152.9"
"2011-01-18","362496","371496","362496","371004","199","154.6"
"2011-01-19","371004","371496","363000","366000","207","152.5"
"2011-01-20","362496","362496","357996","359496","311","149.8"
"2011-01-21","360996","362004","341496","342504","278","142.7"
"2011-01-24","347004","353004","344004","351000","101","146.3"
"2011-01-25","354996","366504","354996","363504","205","151.5"
"2011-01-26","365004","368004","362496","363996","122","151.7"
"2011-01-27","366996","374004","366000","371496","275","154.8"
"2011-01-28","370500","374004","360996","370500","288","154.4"
"2011-01-31","369996","380004","357000","360000","428","150"
"2011-02-01","373500","374004","366996","369996","388","154.2"
"2011-02-02","372996","377004","363504","363996","434","151.7"
"2011-02-03","365496","371496","360996","368496","310","153.5"
"2011-02-04","373500","393996","371496","375996","1194","156.7"
"2011-02-07","390000","433500","387504","422004","1641","175.8"
"2011-02-08","422004","449004","420996","435504","1613","181.5"
"2011-02-09","429996","440004","417996","430500","734","179.4"
"2011-02-10","435000","435000","418500","423504","409","176.5"
"2011-02-14","426996","427500","411504","414996","504","172.9"
"2011-02-15","412500","416004","407496","411996","352","171.7"
"2011-02-16","415500","422004","414996","416496","402","173.5"
"2011-02-17","434004","435000","411996","415500","758","173.1"
"2011-02-18","429000","485496","425004","480000","4067","200"
"2011-02-21","510996","519000","465996","467004","2599","194.6"
"2011-02-22","467496","489996","459000","482496","1281","201"
"2011-02-23","489504","499500","464004","465996","1334","194.2"
"2011-02-24","459996","465504","445500","447000","1116","186.3"
"2011-02-25","450504","488004","449004","486000","1226","202.5"
"2011-02-28","486504","498996","476004","495504","978","206.5"
"2011-03-01","501000","510996","495504","501996","989","209.2"
"2011-03-02","485004","499500","485004","489000","548","203.8"
"2011-03-03","488496","507996","488004","490500","659","204.4"
