2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
"2008-03-31","570000","570000","549996","555996","235","231.7"
"2008-04-01","558000","558000","539004","540000","278","225"
"2008-04-02","554004","555000","543000","546000","136","227.5"
"2008-04-03","548004","564996","540996","564000","270","235"
"2008-04-04","555996","561996","546996","552996","239","230.4"
"2008-04-07","546000","557004","542004","552996","151","230.4"
"2008-04-08","546000","552996","542004","542004","151","225.8"
"2008-04-09","545004","546996","522996","528996","152","220.4"
"2008-04-10","516000","521004","510000","518004","226","215.8"
"2008-04-11","519000","531996","513000","525996","195","219.2"
"2008-04-14","510996","524004","498996","515004","224","214.6"
"2008-04-15","512004","521004","510000","518004","104","215.8"
"2008-04-16","524004","534000","524004","530004","114","220.8"
"2008-04-17","537996","543000","522996","527004","104","219.6"
"2008-04-18","525000","528000","513000","515004","171","214.6"
"2008-04-21","521004","522000","504996","504996","400","210.4"
"2008-04-22","501000","513000","501000","512004","132","213.3"
"2008-04-23","507996","510996","506004","510000","190","212.5"
"2008-04-24","513000","519996","510000","516996","280","215.4"
"2008-04-25","519996","534996","519996","531996","422","221.7"
"2008-04-28","536004","536004","507000","507000","611","211.3"
"2008-04-30","515004","522000","512004","515004","255","214.6"
"2008-05-01","516000","522996","515004","522000","102","217.5"
"2008-05-02","522000","534996","522000","534000","220","222.5"
"2008-05-07","548004","548004","534996","536004","162","223.3"
"2008-05-08","530004","552996","525000","543996","335","226.7"
"2008-05-09","548004","552996","531000","549000","458","228.8"
"2008-05-12","489000","504000","473004","497004","1107","207.1"
"2008-05-13","501000","513000","501000","512004","476","213.3"
"2008-05-14","509004","513000","501996","507996","318","211.7"
"2008-05-15","509004","516000","506004","509004","411","212.1"
"2008-05-16","510000","510996","503004","504996","289","210.4"
"2008-05-19","504996","507996","501000","501996","139","209.2"
"2008-05-20","501000","503004","489996","492000","436","205"
"2008-05-21","486996","488004","480000","485004","240","202.1"
"2008-05-22","480000","503004","479004","498996","229","207.9"
"2008-05-23","494004","494004","480996","483000","460","201.3"
"2008-05-26","483000","486000","480996","482004","125","200.8"
"2008-05-27","480996","483996","480996","483996","131","201.7"
"2008-05-28","486000","486000","480000","480996","150","200.4"
"2008-05-29","482004","485004","480996","483000","100","201.3"
"2008-05-30","486000","488004","483996","483996","189","201.7"
"2008-06-02","486000","486996","474996","477996","486","199.2"
"2008-06-03","470004","471000","462000","465000","530","193.8"
"2008-06-04","459996","470004","459000","461004","317","192.1"
"2008-06-05","459996","459996","455004","456996","188","190.4"
"2008-06-06","459996","464004","459000","462000","197","192.5"
"2008-06-09","459996","474996","456996","465000","230","193.8"
"2008-06-10","474000","474000","456996","464004","240","193.3"
"2008-06-11","462000","462000","455004","458004","144","190.8"
"2008-06-12","461004","474000","456000","471996","261","196.7"
"2008-06-13","477000","480000","474996","477996","159","199.2"
"2008-06-16","483000","507996","477996","506004","688","210.8"
"2008-06-17","507996","507996","498996","506004","246","210.8"
"2008-06-18","498996","504000","492000","495000","166","206.3"
"2008-06-19","486996","492000","486996","489996","179","204.2"
"2008-06-20","495000","513000","495000","509004","783","212.1"
"2008-06-23","500004","537996","500004","537996","1069","224.2"
"2008-06-24","537000","537000","519000","521004","148","217.1"
"2008-06-25","518004","518004","501996","506004","113","210.8"
"2008-06-26","513000","518004","504996","504996","70","210.4"
"2008-06-27","501000","504996","495000","498000","152","207.5"
"2008-06-30","489000","504996","489000","492000","154","205"
"2008-07-01","489996","500004","485004","494004","256","205.8"
"2008-07-02","495000","495000","480000","489000","146","203.8"
"2008-07-03","482004","494004","480996","488004","59","203.3"
"2008-07-04","495000","495000","488004","492000","57","205"
"2008-07-07","492000","498996","489000","491004","24","204.6"
"2008-07-08","488004","488004","473004","474996","52","197.9"
"2008-07-09","480000","480000","465000","467004","153","194.6"
"2008-07-10","462000","473004","461004","473004","72","197.1"
"2008-07-11","465996","473004","462996","465996","82","194.2"
"2008-07-14","462000","465000","461004","461004","78","192.1"
"2008-07-15","456000","459000","450996","450996","215","187.9"
"2008-07-16","452004","456000","449004","450000","183","187.5"
"2008-07-17","458004","491004","455004","477996","227","199.2"
"2008-07-18","477000","477996","467004","468996","51","195.4"
"2008-07-22","483996","491004","474996","489996","100","204.2"
"2008-07-23","495000","510000","489996","494004","172","205.8"
"2008-07-24","504000","507996","501000","506004","120","210.8"
"2008-07-25","495000","498000","486996","491004","196","204.6"
"2008-07-28","501000","501996","492000","492996","27","205.4"
"2008-07-29","485004","489996","480000","483000","43","201.3"
"2008-07-30","483996","495000","474996","489000","130","203.8"
"2008-07-31","474000","474996","449004","458004","566","190.8"
"2008-08-01","450996","453000","447000","450000","195","187.5"
"2008-08-04","452004","452004","440004","440004","247","183.3"
"2008-08-05","438000","438000","404004","410004","418","170.8"
"2008-08-06","414996","423996","411000","417000","265","173.8"
"2008-08-07","417996","417996","407004","408000","252","170"
"2008-08-08","408000","408000","396996","401004","262","167.1"
"2008-08-11","405000","408000","396000","396996","144","165.4"
"2008-08-12","399000","413004","398004","399996","150","166.7"
"2008-08-13","399996","408000","395004","401004","285","167.1"
"2008-08-14","390996","396996","384996","387000","194","161.3"
"2008-08-15","387000","393996","378996","384000","173","160"
"2008-08-18","381000","392004","380004","390000","107","162.5"
"2008-08-19","380004","381996","372996","375000","217","156.3"
"2008-08-20","366000","378996","365004","378996","156","157.9"
"2008-08-21","375996","396000","375996","392004","125","163.3"
"2008-08-22","390000","395004","387000","393996","108","164.2"
"2008-08-25","399000","411000","393996","402996","168","167.9"
"2008-08-26","390000","396996","384000","387996","141","161.7"
"2008-08-27","384996","390996","384996","387000","53","161.3"
"2008-08-28","387996","393996","386004","387996","95","161.7"
"2008-08-29","392004","399000","390996","393000","140","163.8"
"2008-09-01","395004","405996","390000","405996","146","169.2"
"2008-09-02","401004","416004","398004","405996","125","169.2"
"2008-09-03","408000","411000","389004","396000","123","165"
"2008-09-04","393996","393996","380004","381000","139","158.8"
"2008-09-05","366996","366996","350004","363996","205","151.7"
"2008-09-08","366000","377004","366000","372000","126","155"
"2008-09-09","372000","378000","365004","375000","92","156.3"
"2008-09-10","365004","390000","362004","389004","113","162.1"
"2008-09-11","393996","393996","384000","387996","74","161.7"
"2008-09-12","399996","410004","395004","408996","220","170.4"
"2008-09-16","366000","429000","366000","392004","534","163.3"
"2008-09-17","402000","411996","402000","410004","266","170.8"
"2008-09-18","396000","425004","396000","420996","378","175.4"
"2008-09-19","440004","459000","435000","455004","496","189.6"
"2008-09-22","459996","480000","452004","471000","634","196.3"
"2008-09-24","470004","495000","462996","486996","616","202.9"
"2008-09-25","465000","470004","455004","459996","342","191.7"
"2008-09-26","456000","465000","452004","461004","141","192.1"
"2008-09-29","465996","465996","435000","444996","129","185.4"
"2008-09-30","420000","443004","420000","441000","152","183.8"
"2008-10-01","447000","453996","429996","431004","183","179.6"
"2008-10-02","429996","434004","420000","420996","89","175.4"
"2008-10-03","417996","417996","399996","410004","209","170.8"
"2008-10-06","399000","399000","363000","366000","366","152.5"
"2008-10-07","330996","375000","327996","369996","380","154.2"
"2008-10-08","350004","354996","324996","326004","415","135.8"
"2008-10-09","327000","366000","324996","351000","278","146.3"
"2008-10-10","330996","354996","321996","350004","240","145.8"
"2008-10-14","384996","399996","378996","399996","272","166.7"
"2008-10-15","380004","395004","369000","381996","291","159.2"
"2008-10-16","348996","380004","348996","351996","173","146.7"
"2008-10-17","365004","378996","365004","375996","178","156.7"
"2008-10-20","380004","420000","380004","417000","255","173.8"
"2008-10-21","410004","410004","384000","384996","318","160.4"
"2008-10-22","395004","408996","386004","399996","543","166.7"
"2008-10-23","384996","399996","377004","398004","563","165.8"
"2008-10-24","393000","398004","380004","387996","413","161.7"
"2008-10-27","378000","390000","354996","360000","316","150"
"2008-10-28","360000","362004","314004","357000","537","148.8"
"2008-10-29","377004","393996","345996","356004","360","148.3"
"2008-10-30","371004","389004","363000","375996","340","156.7"
"2008-10-31","381000","389004","371004","372996","161","155.4"
"2008-11-04","380004","390000","378000","387996","108","161.7"
"2008-11-05","398004","405000","386004","393996","172","164.2"
"2008-11-06","380004","381000","363996","363996","140","151.7"
"2008-11-07","363996","387996","360000","378000","114","157.5"
"2008-11-10","387996","390996","381000","381000","84","158.8"
"2008-11-11","390000","390000","381996","386004","86","160.8"
"2008-11-12","381000","392004","378000","389004","170","162.1"
"2008-11-13","375000","438996","374004","438996","799","182.9"
"2008-11-14","429996","435000","414000","417000","588","173.8"
"2008-11-17","402996","425004","401004","410004","349","170.8"
"2008-11-18","410004","432996","408996","422004","311","175.8"
"2008-11-19","432996","453000","432000","443004","577","184.6"
"2008-11-20","428004","489000","423000","458004","901","190.8"
"2008-11-21","446004","453000","423000","444000","546","185"
"2008-11-25","444000","473004","441996","459000","423","191.3"
"2008-11-26","453996","459996","425004","425004","670","177.1"
"2008-11-27","429000","438996","428004","431004","584","179.6"
"2008-11-28","432996","444000","426996","444000","667","185"
"2008-12-01","438000","447000","426996","443004","507","184.6"
"2008-12-02","432000","471996","429996","465996","508","194.2"
"2008-12-03","474996","500004","464004","492000","1403","205"
"2008-12-04","480000","495000","470004","483000","472","201.3"
"2008-12-05","488004","519000","479004","513000","924","213.8"
"2008-12-08","507000","510000","489996","495000","481","206.3"
"2008-12-09","510000","525000","489996","503004","628","209.6"
"2008-12-10","501996","504996","471000","482004","325","200.8"
"2008-12-11","471996","477996","455004","458004","635","190.8"
"2008-12-12","456000","473004","455004","459000","299","191.3"
"2008-12-15","473004","474000","462000","462000","134","192.5"
"2008-12-16","462000","474000","453000","471996","201","196.7"
"2008-12-17","480000","482004","459996","471996","334","196.7"
"2008-12-18","471000","473004","461004","468996","138","195.4"
"2008-12-19","467004","468000","444996","446004","227","185.8"
"2008-12-22","444996","450000","426996","450000","330","187.5"
"2008-12-24","444996","446004","423996","426000","189","177.5"
"2008-12-25","420996","432996","410004","423996","170","176.7"
"2008-12-26","422004","438996","422004","435000","107","181.3"
"2008-12-29","432996","449004","432996","440004","151","183.3"
"2008-12-30","438996","444996","434004","435000","75","181.3"
