2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2008-01-04","554004","558996","510996","534996","197","222.9"
"2008-01-07","525000","534000","512004","528000","345","220"
"2008-01-08","528000","554004","528000","542004","376","225.8"
"2008-01-09","530004","539004","522996","534000","300","222.5"
"2008-01-10","543996","555996","537996","540996","292","225.4"
"2008-01-11","548004","548004","507996","515004","378","214.6"
"2008-01-15","513000","513000","476004","486000","413","202.5"
"2008-01-16","456000","468996","438000","441000","626","183.8"
"2008-01-17","450996","488004","450000","483996","435","201.7"
"2008-01-18","459996","501000","459996","498000","370","207.5"
"2008-01-21","503004","510996","476004","482004","426","200.8"
"2008-01-22","462000","476004","455004","456000","376","190"
"2008-01-23","486000","489000","450996","462996","270","192.9"
"2008-01-24","477996","482004","465996","479004","344","199.6"
"2008-01-25","486000","501996","485004","498996","459","207.9"
"2008-01-28","504000","524004","492996","524004","698","218.3"
"2008-01-29","549996","549996","524004","543000","468","226.3"
"2008-01-30","549996","578004","537996","570000","1161","237.5"
"2008-01-31","569004","588996","560004","588000","724","245"
"2008-02-01","590004","594000","567996","570996","333","237.9"
"2008-02-04","588000","615996","582000","612000","769","255"
"2008-02-05","603996","609996","570996","596004","582","248.3"
"2008-02-06","570000","588996","566004","582000","364","242.5"
"2008-02-07","575004","584004","555996","578004","393","240.8"
"2008-02-08","605004","614004","593004","597996","652","249.2"
"2008-02-12","599004","600000","560004","560004","505","233.3"
"2008-02-13","573996","579000","558000","560004","239","233.3"
"2008-02-14","570000","573996","561000","564000","273","235"
"2008-02-15","513996","558000","513996","548004","1142","228.3"
"2008-02-18","558000","558996","534996","534996","1050","222.9"
"2008-02-19","540996","603996","540996","590004","1571","245.8"
"2008-02-20","579996","591000","570996","579996","730","241.7"
"2008-02-21","581004","627996","581004","608004","1937","253.3"
"2008-02-22","591000","600996","588996","597996","539","249.2"
"2008-02-25","600996","603000","576996","584004","473","243.3"
"2008-02-26","585000","594000","575004","584004","727","243.3"
"2008-02-27","585000","594996","575004","594996","480","247.9"
"2008-02-28","603996","642996","596004","623004","1826","259.6"
"2008-02-29","623004","645000","612000","638004","805","265.8"
"2008-03-03","614004","620004","606996","614004","570","255.8"
"2008-03-04","612996","612996","588996","600000","453","250"
"2008-03-05","599004","609996","585996","588000","307","245"
"2008-03-06","588996","599004","570996","588000","467","245"
"2008-03-07","570996","575004","552996","561000","468","233.8"
"2008-03-10","546996","555000","518004","525000","257","218.8"
"2008-03-11","504996","561996","489996","561000","587","233.8"
"2008-03-12","585000","591996","540000","545004","286","227.1"
"2008-03-13","554004","573996","543000","558996","282","232.9"
"2008-03-14","564996","566004","533004","533004","289","222.1"
"2008-03-17","533004","533004","504996","515004","285","214.6"
"2008-03-18","525000","530004","504996","518004","294","215.8"
"2008-03-19","531000","539004","525000","531996","238","221.7"
"2008-03-21","531996","545004","528996","543000","245","226.3"
"2008-03-24","537000","558996","534996","555000","271","231.3"
"2008-03-25","570000","585996","563004","582000","349","242.5"
"2008-03-26","569004","587004","567000","581004","200","242.1"
"2008-03-27","573000","590004","573000","590004","168","245.8"
"2008-03-28","582000","588000","570996","573996","167","239.2"
